Site_Name,Month,Day,Year,Time,AM_PM,Level,Unit
SS,7,24,2021,6:30,PM,15,mm
SS,7,24,2021,6:35,AM,96,mm
SS,7,24,2021,6:35,PM,8,mm
SS,7,24,2021,6:40,AM,96,mm
SS,7,24,2021,6:40,PM,9,mm
SS,7,24,2021,6:45,AM,103,mm
SS,7,24,2021,6:45,PM,14,mm
SS,7,24,2021,6:50,AM,96,mm
SS,7,24,2021,6:50,PM,8,mm
SS,7,24,2021,6:55,AM,96,mm
SS,7,24,2021,6:55,PM,8,mm
SS,7,24,2021,7:00,AM,100,mm
SS,7,24,2021,7:00,PM,13,mm
SS,7,24,2021,7:05,AM,91,mm
SS,7,24,2021,7:05,PM,7,mm
SS,7,24,2021,7:10,AM,89,mm
SS,7,24,2021,7:10,PM,6,mm
SS,7,24,2021,7:15,AM,96,mm
SS,7,24,2021,7:15,PM,12,mm
SS,7,24,2021,7:20,AM,90,mm
SS,7,24,2021,7:20,PM,7,mm
SS,7,24,2021,7:25,AM,86,mm
SS,7,24,2021,7:25,PM,6,mm
SS,7,24,2021,7:30,AM,95,mm
SS,7,24,2021,7:30,PM,11,mm
SS,7,24,2021,7:35,AM,90,mm
SS,7,24,2021,7:35,PM,6,mm
SS,7,24,2021,7:40,AM,87,mm
SS,7,24,2021,7:40,PM,4,mm
SS,7,24,2021,7:45,AM,95,mm
SS,7,24,2021,7:45,PM,11,mm
SS,7,24,2021,7:50,AM,98,mm
SS,7,24,2021,7:50,PM,5,mm
SS,7,24,2021,7:55,AM,98,mm
SS,7,24,2021,7:55,PM,4,mm
SS,7,24,2021,8:00,AM,100,mm
SS,7,24,2021,8:00,PM,10,mm
SS,7,24,2021,8:05,AM,108,mm
SS,7,24,2021,8:05,PM,4,mm
SS,7,24,2021,8:10,AM,107,mm
SS,7,24,2021,8:10,PM,3,mm
SS,7,24,2021,8:15,AM,98,mm
SS,7,24,2021,8:15,PM,8,mm
SS,7,24,2021,8:20,AM,93,mm
SS,7,24,2021,8:20,PM,1,mm
SS,7,24,2021,8:25,AM,95,mm
SS,7,24,2021,8:25,PM,3,mm
SS,7,24,2021,8:30,AM,98,mm
SS,7,24,2021,8:30,PM,8,mm
SS,7,24,2021,8:35,AM,91,mm
SS,7,24,2021,8:35,PM,2,mm
SS,7,24,2021,8:40,AM,92,mm
SS,7,24,2021,8:40,PM,1,mm
SS,7,24,2021,8:45,AM,98,mm
SS,7,24,2021,8:45,PM,6,mm
SS,7,24,2021,8:50,AM,93,mm
SS,7,24,2021,8:50,PM,2,mm
SS,7,24,2021,8:55,AM,89,mm
SS,7,24,2021,8:55,PM,0,mm
SS,7,24,2021,9:00,AM,94,mm
SS,7,24,2021,9:00,PM,4,mm
SS,7,24,2021,9:05,AM,85,mm
SS,7,24,2021,9:05,PM,0,mm
SS,7,24,2021,9:10,AM,82,mm
SS,7,24,2021,9:10,PM,0,mm
SS,7,24,2021,9:15,AM,86,mm
SS,7,24,2021,9:15,PM,4,mm
SS,7,24,2021,9:20,AM,74,mm
SS,7,24,2021,9:20,PM,0,mm
SS,7,24,2021,9:25,AM,72,mm
